site_sampled,Sampling_Status,lat,lon
1,Adults + Tadpoles,-35.152934,149.157033
2,Adults + Tadpoles,-35.162979,149.175054
3,Adults + Tadpoles,-35.16380909,149.1643346
4,Adults + Tadpoles,-35.1674,149.155
5,Adults Only,-35.163931,149.123604
6,Adults Only,-35.185117,149.033048
7,Adults Only,-35.195294,149.101281
8,Adults + Tadpoles,-35.209796,149.11719
9,Adults Only,-35.232185,149.156279
10,Adults + Tadpoles,-35.241248,149.168755
11,Adults + Tadpoles,-35.250603,149.176689
13,Adults + Tadpoles,-35.27885,149.178388
14,Adults + Tadpoles,-35.28228,149.166283
15,Adults + Tadpoles,-35.247811,148.955793
16,Adults + Tadpoles,-35.4591,148.920997
17,Adults + Tadpoles,-35.4632001,148.910118
18,Adults + Tadpoles,-35.470561,148.909658
19,Adults + Tadpoles,-35.518728,148.90946
20,Adults + Tadpoles,-35.532568,148.901689
21,Adults + Tadpoles,-35.739258,148.995044
22,Adults + Tadpoles,-35.870049,149.00882
23,Adults Only,-35.89070189,148.9826585