site,secchi_avg,Shannon_index,Total_count,log_Total_count
1,16.875,1.275684393,465.5,6.143112097
3,36.75,0.899944242,318.5,5.763622475
4,33.25,0.734973406,626.5,6.440148774
6,48.375,0.914865491,397.5,5.985194934
9,100,1.18580266,239.5,5.478553417
25,15.5,0.869485032,263.5,5.574053368
26,24.625,0.905126108,253,5.533389489
27,38.625,1.028022094,562,6.33150185
32,83.75,0.926123723,330.5,5.800606659
33,88.875,1.066790774,280.5,5.636573725
38,49.875,1.068321195,442.5,6.092440464
43,62.75,0.800293695,339.5,5.827473947
54,53.625,1.235563232,432.5,6.069582326
55,19.75,1.092838278,1034,6.941190055
58,100,0.825115927,280.5,5.636573725
68,100,0.959312512,482,6.177944114