Site,Depth Category,hours within 17-25°C,hours below 17°C,hours above 25°C,site_sampled,Most Common Temperature,Temperature Range
1,(Deep),0,146,0,10,11.5,3
1,(Shallow),25,123,1,10,12,15.5
3,(Deep),10,134,3,2,12,15
3,(Shallow),113,40,3,2,19.5,12.5
6,(Deep),9,138,2,4,13,12.5
6,(Shallow),128,31,2,4,19.5,10
9,(Deep),0,146,0,22,11.5,4.5
9,(Shallow),28,129,0,22,12.5,11.5
25,(Deep),1,145,0,12,13,13
25,(Shallow),74,79,3,12,17,15
26,(Deep),0,146,0,13,12,6
26,(Shallow),42,112,0,13,13.5,12.5
27,(Deep),3,144,0,14,13.5,8
27,(Shallow),109,40,1,14,22,11.5
32,(Deep),2,144,0,16,13,9
32,(Shallow),49,105,0,16,14.5,12
33,(Deep),1,141,4,18,16,28.5
33,(Shallow),93,55,4,18,18,21
34,(Deep),1,145,0,19,11,13.5
34,(Shallow),16,131,0,19,8,18.5
38,(Deep),67,89,6,15,13.5,40.5
38,(Shallow),69,72,5,15,15,39
43,(Deep),4,138,4,1,15,20.5
43,(Shallow),81,58,15,1,19.5,18.5
54,(Deep),1,143,2,8,12,18
54,(Shallow),84,64,11,8,16,17.5
55,(Deep),0,146,0,11,12,1.5
55,(Shallow),53,91,8,11,12.5,17
58,(Deep),4,141,1,21,13,23.5
58,(Shallow),17,80,0,21,8.5,18
59,(Shallow),15,275,5,20,9,25
68,(Deep),133,22,0,17,18,7
68,(Shallow),110,32,11,17,19.5,12.5