Order,Survey_period,Total_Count,site,site_sampled
Cladocera,1,89,1,10
Cladocera,2,27,1,10
Cladocera,2,10,3,2
Cladocera,1,308,4,3
Cladocera,2,7,4,3
Cladocera,1,21,6,4
Cladocera,2,9,6,4
Cladocera,1,189,9,22
Cladocera,2,21,9,22
Cladocera,1,4,25,12
Cladocera,2,11,25,12
Cladocera,1,153,26,13
Cladocera,2,15,26,13
Cladocera,1,82,27,14
Cladocera,2,12,27,14
Cladocera,1,17,32,16
Cladocera,2,155,32,16
Cladocera,1,68,33,18
Cladocera,2,90,33,18
Cladocera,1,311,34,19
Cladocera,2,77,34,19
Cladocera,1,33,38,15
Cladocera,2,88,38,15
Cladocera,1,27,43,1
Cladocera,2,46,43,1
Cladocera,1,85,54,8
Cladocera,2,158,54,8
Cladocera,1,19,55,11
Cladocera,1,6,58,21
Cladocera,2,66,58,21
Cladocera,1,89,59,20
Cladocera,2,34,59,20
Cladocera,1,42,68,17
Copepoda,1,127,1,10
Copepoda,2,34,1,10
Copepoda,1,184,3,2
Copepoda,2,195,3,2
Copepoda,1,41,4,3
Copepoda,2,183,4,3
Copepoda,1,465,6,4
Copepoda,2,94,6,4
Copepoda,1,80,9,22
Copepoda,2,70,9,22
Copepoda,1,127,25,12
Copepoda,2,174,25,12
Copepoda,1,275,26,13
Copepoda,2,40,26,13
Copepoda,1,140,27,14
Copepoda,2,379,27,14
Copepoda,1,123,32,16
Copepoda,2,208,32,16
Copepoda,1,135,33,18
Copepoda,2,141,33,18
Copepoda,1,177,34,19
Copepoda,2,183,34,19
Copepoda,1,85,38,15
Copepoda,2,114,38,15
Copepoda,1,330,43,1
Copepoda,2,184,43,1
Copepoda,1,192,54,8
Copepoda,2,171,54,8
Copepoda,1,290,55,11
Copepoda,1,47,58,21
Copepoda,2,363,58,21
Copepoda,1,50,59,20
Copepoda,2,52,59,20
Copepoda,1,289,68,17
Ostracoda,1,326,1,10
Ostracoda,2,79,1,10
Ostracoda,1,45,3,2
Ostracoda,2,9,3,2
Ostracoda,1,6,4,3
Ostracoda,2,5,4,3
Ostracoda,1,80,6,4
Ostracoda,2,35,6,4
Ostracoda,1,37,9,22
Ostracoda,2,29,9,22
Ostracoda,1,23,25,12
Ostracoda,2,6,25,12
Ostracoda,1,3,26,13
Ostracoda,2,4,26,13
Ostracoda,1,87,27,14
Ostracoda,2,393,27,14
Ostracoda,1,13,32,16
Ostracoda,2,15,32,16
Ostracoda,1,16,33,18
Ostracoda,2,6,33,18
Ostracoda,1,7,34,19
Ostracoda,2,42,34,19
Ostracoda,1,97,38,15
Ostracoda,2,403,38,15
Ostracoda,1,2,43,1
Ostracoda,2,31,43,1
Ostracoda,1,61,54,8
Ostracoda,2,118,54,8
Ostracoda,1,201,55,11
Ostracoda,2,26,58,21
Ostracoda,1,34,59,20
Ostracoda,2,36,59,20
Ostracoda,1,141,68,17
Rotifera,1,171,1,10
Rotifera,2,78,1,10
Rotifera,1,64,3,2
Rotifera,2,130,3,2
Rotifera,1,88,4,3
Rotifera,2,615,4,3
Rotifera,1,16,6,4
Rotifera,2,75,6,4
Rotifera,1,27,9,22
Rotifera,2,26,9,22
Rotifera,1,140,25,12
Rotifera,2,42,25,12
Rotifera,1,10,26,13
Rotifera,2,6,26,13
Rotifera,1,22,27,14
Rotifera,2,9,27,14
Rotifera,1,130,32,16
Rotifera,1,9,33,18
Rotifera,2,96,33,18
Rotifera,1,12,34,19
Rotifera,2,12,34,19
Rotifera,1,1,38,15
Rotifera,2,64,38,15
Rotifera,1,35,43,1
Rotifera,2,24,43,1
Rotifera,1,60,54,8
Rotifera,2,20,54,8
Rotifera,1,524,55,11
Rotifera,1,15,58,21
Rotifera,2,38,58,21
Rotifera,2,42,59,20
Rotifera,1,10,68,17